n_estimators,criterion,max_features,score,f1_score,recall,precision
1,gini,sqrt,0.25,0.25792121488089986,0.2703809523809524,
1,gini,log2,0.13333333333333333,0.13188205653995128,0.13383333333333333,
1,entropy,sqrt,0.15333333333333332,0.13874239881205827,0.14232539682539683,
1,entropy,log2,0.08666666666666667,0.0751395474150892,0.08172222222222221,
10,gini,sqrt,0.36333333333333334,0.35700057338602226,0.38884920634920633,
10,gini,log2,0.3333333333333333,0.32326347726347726,0.36592063492063487,
10,entropy,sqrt,0.23666666666666666,0.21662623152561228,0.22922222222222224,
10,entropy,log2,0.17666666666666667,0.1648753153164918,0.17945238095238097,
20,gini,sqrt,0.42333333333333334,0.43717837659416603,0.4605714285714286,
20,gini,log2,0.3933333333333333,0.38822928859925765,0.41904761904761906,
20,entropy,sqrt,0.31666666666666665,0.3079065782096338,0.33524603174603174,
20,entropy,log2,0.2866666666666667,0.27549617539323423,0.3075873015873016,
100,gini,sqrt,0.5166666666666667,0.5132702320039781,0.5493095238095238,0.5658870573870574
100,gini,log2,0.5133333333333333,0.5026148497036234,0.5404682539682539,0.576988122988123
100,entropy,sqrt,0.42333333333333334,0.4085372912112042,0.44701587301587303,
100,entropy,log2,0.36666666666666664,0.3506170245990679,0.3897301587301587,
200,gini,sqrt,0.5633333333333334,0.547334510518721,0.5772142857142857,
200,gini,log2,0.5066666666666667,0.4942010016127663,0.5256587301587301,
200,entropy,sqrt,0.46,0.44485519038924615,0.49161904761904757,
200,entropy,log2,0.41333333333333333,0.39652022331178344,0.44173809523809526,
500,gini,sqrt,0.5566666666666666,0.5465426257459505,0.5776587301587301,
500,gini,log2,0.51,0.48956223685379696,0.5298571428571428,
500,entropy,sqrt,0.48,0.45509249183236256,0.5098571428571428,
500,entropy,log2,0.44333333333333336,0.4125107709627834,0.45830952380952383,
1000,gini,sqrt,0.5466666666666666,0.536119979764481,0.5673492063492063,
1000,gini,log2,0.5233333333333333,0.5103718558553665,0.5485476190476191,
1000,entropy,sqrt,0.5,0.4805213544625309,0.5282539682539682,
1000,entropy,log2,0.4666666666666667,0.4387603338182286,0.48651587301587296,
1500,gini,sqrt,0.55,0.5319913143122862,0.5643174603174602,
1500,gini,log2,0.5133333333333333,0.5013538037320511,0.5377142857142857,
1500,entropy,sqrt,0.4866666666666667,0.464196688931983,0.5105555555555555,
1500,entropy,log2,0.44,0.40733043365303423,0.4626746031746032,
2000,gini,sqrt,0.5466666666666666,0.5364045632729842,0.5593492063492064,
2000,gini,log2,0.55,0.5380310910279951,0.569015873015873,
2000,entropy,sqrt,0.49666666666666665,0.4795863999090005,0.5236031746031746,
2000,entropy,log2,0.45,0.4288311767233514,0.4743333333333333,
2200,gini,sqrt,0.5533333333333333,0.5459180152492845,0.5672142857142857,
2200,gini,log2,0.5366666666666666,0.52186994058573,0.5534603174603174,
2200,entropy,sqrt,0.49333333333333335,0.4738152545768644,0.5186904761904761,
2200,entropy,log2,0.46,0.43348383555093745,0.4818333333333333,
2500,gini,sqrt,0.5466666666666666,0.5361259067729656,0.5601825396825396,
2500,gini,log2,0.5266666666666666,0.5186736275420486,0.5482142857142857,
2500,entropy,sqrt,0.5,0.4740389708330885,0.5229365079365079,
2500,entropy,log2,0.45,0.4234161940421194,0.47300793650793643,
