criterion,train_time,inference_time,k,R2_score,RMSE,D,N,n_test,n_train,MGE
mse,0.0020024776458740234,0.0009989738464355469,1,0.7053928200776922,38.13798701298701,8,1232,616,616,0.006179679846813978
mse,0.002002239227294922,0.0009980201721191406,2,0.6713698730385954,38.81655844155844,8,1232,616,616,0.0062496350424976884
mse,0.001999378204345703,0.0,3,0.7157183069713213,36.36363636363637,8,1232,616,616,0.005785016337911239
mse,0.0019991397857666016,0.0,4,0.6994472206581575,41.366883116883116,8,1232,616,616,0.006948998677967643
mse,0.0019965171813964844,0.0,5,0.7467635731904769,33.688311688311686,8,1232,616,616,0.005510974445387951
mse,0.001997232437133789,0.0,6,0.7223103478063342,36.5974025974026,8,1232,616,616,0.006042728656215089
mse,0.0010001659393310547,0.0009989738464355469,7,0.731299788123422,36.48538961038961,8,1232,616,616,0.006087361408263075
mse,0.002001047134399414,0.0,8,0.6803356750512272,42.2224025974026,8,1232,616,616,0.007134933942019795
mse,0.0029997825622558594,0.0,9,0.7004457665138615,40.94155844155844,8,1232,616,616,0.006629424870864412
mse,0.0019965171813964844,0.0,10,0.7029788749765962,39.08116883116883,8,1232,616,616,0.0063690046157406175
