n_neighbors,weights,train_time,inference_time,k,R2_score,RMSE,D,N,n_test,n_train,MGE
10,uniform,0.0010001659393310547,0.004998683929443359,1,0.78605496928259,27.69597402597402,8,1232,616,616,0.004572145430771713
10,uniform,0.0010006427764892578,0.0050008296966552734,2,0.7802490981688499,25.956152597402596,8,1232,616,616,0.004128703696796117
10,uniform,0.0009996891021728516,0.004000425338745117,3,0.7727622207298679,29.066915584415586,8,1232,616,616,0.00467944133423637
10,uniform,0.0010004043579101562,0.004998922348022461,4,0.7817118967276709,30.044301948051945,8,1232,616,616,0.005128587596772228
10,uniform,0.0010001659393310547,0.004996299743652344,5,0.7624884667887335,31.596412337662336,8,1232,616,616,0.005050801220129558
10,uniform,0.00099945068359375,0.004999399185180664,6,0.7997003253785685,26.397987012987013,8,1232,616,616,0.004450150975681315
10,uniform,0.00099945068359375,0.0050013065338134766,7,0.7846286803191409,29.24413961038961,8,1232,616,616,0.004880926641957026
10,uniform,0.00099945068359375,0.003999233245849609,8,0.7587900438747882,31.85987012987013,8,1232,616,616,0.005290542729849561
10,uniform,0.0,0.004999876022338867,9,0.7790291042434665,30.201185064935064,8,1232,616,616,0.005213011180281721
10,uniform,0.000997304916381836,0.005002498626708984,10,0.781077022802649,28.80524350649351,8,1232,616,616,0.004746749327667356
