n_estimators,train_time,inference_time,k,R2_score,RMSE,D,N,n_test,n_train
10,5.516488075256348,0.01610875129699707,1,0.9111914479836487,0.01012850760522867,81,21263,6379,14884
100,54.92915606498718,0.14783501625061035,1,0.9189458588454337,0.009244126454940386,81,21263,6379,14884
10,5.445611953735352,0.015965938568115234,2,0.9107971844805346,0.01003232468217938,81,21263,6379,14884
100,54.998186111450195,0.13893580436706543,2,0.9174800139940271,0.009280730519096284,81,21263,6379,14884
10,5.475523948669434,0.015784263610839844,3,0.9155485556948678,0.009361952396699182,81,21263,6379,14884
100,55.47416400909424,0.1374049186706543,3,0.9223909634583012,0.008603430191577163,81,21263,6379,14884
10,5.60791802406311,0.016402006149291992,4,0.9018117702782649,0.01101463037447647,81,21263,6379,14884
100,55.653072118759155,0.13875889778137207,4,0.9110243295014994,0.009981177231116257,81,21263,6379,14884
10,5.515141010284424,0.016454696655273438,5,0.914528089538391,0.009519784684070288,81,21263,6379,14884
100,54.67616629600525,0.13819003105163574,5,0.9197981586047442,0.008932809120860011,81,21263,6379,14884
10,5.296924829483032,0.01553201675415039,6,0.9088726082750841,0.010120534078299964,81,21263,6379,14884
100,53.80167102813721,0.13977384567260742,6,0.9188219891391233,0.009015563924030065,81,21263,6379,14884
10,5.385627031326294,0.016455888748168945,7,0.9097384923625004,0.010098630299786415,81,21263,6379,14884
100,55.46531796455383,0.14220118522644043,7,0.9181905003296663,0.009153003465210953,81,21263,6379,14884
10,5.97701096534729,0.016562938690185547,8,0.9078155014707742,0.010531113365907953,81,21263,6379,14884
100,55.842069149017334,0.13738393783569336,8,0.9165106300408331,0.009537786004329864,81,21263,6379,14884
10,5.951312065124512,0.016013145446777344,9,0.9145477594687663,0.009618579708775605,81,21263,6379,14884
100,54.75075888633728,0.15988898277282715,9,0.9196425405613421,0.009045106646711291,81,21263,6379,14884
10,5.603733062744141,0.01680469512939453,10,0.910203502270139,0.01013366421015001,81,21263,6379,14884
100,55.46091985702515,0.13875508308410645,10,0.9183205748266015,0.009217640871421724,81,21263,6379,14884
