epoch,accuracy,efficience,epochtime,inference_time,total_Memory
1,88.59,0.8795505602753632,100.72189593315125,94.13970112800598,71.3671875
2,90.19,0.9067275614060443,99.4675841331482,93.11684012413025,31.39453125
3,91.29,0.8928920252645216,102.24080562591553,94.80111289024353,34.69921875
4,91.59,0.8963837861737104,102.17721629142761,95.15671443939209,33.0546875
5,91.82,0.894543828815822,102.64449548721313,95.37844491004944,26.6328125
6,92.06,0.9126867395542263,100.86702919006348,93.24133372306824,31.14453125
7,92.29,0.9032216480435125,102.1786847114563,94.36662101745605,27.703125
8,92.33,0.8903593056734815,103.69970798492432,95.86306190490723,30.81640625
9,92.51,0.8888514362407668,104.0781352519989,95.61794233322144,31.22265625
10,92.64,0.8943673397979125,103.5815999507904,95.17669153213501,28.625
11,92.63,0.8845547960929789,104.71934628486633,95.44858169555664,28.546875
12,92.63,0.8949209351608052,103.50635051727295,94.93240094184875,34.625
13,92.66,0.876942173842142,105.66261124610901,96.98136615753174,30.921875
14,92.7,0.885949204756121,104.63353824615479,95.35006332397461,33.46875
15,92.74,0.8952760971393088,103.58815598487854,94.4558436870575,32.23828125
16,92.69,0.8739613822091882,106.05731773376465,96.43412160873413,27.05859375
17,92.63,0.8795801835834489,105.31160402297974,95.7744369506836,31.71484375
18,92.7,0.8678058994073434,106.82112216949463,97.06225728988647,36.171875
19,92.71,0.8621663189826035,107.5314564704895,97.40281248092651,28.015625
20,92.69,0.8674445261893932,106.8540952205658,96.58042764663696,35.0
21,92.66,0.8504043144492834,108.95993638038635,98.41206622123718,28.125
22,92.67,0.876194829129733,105.76414847373962,95.51029944419861,34.265625
23,92.67,0.855722519055844,108.29445052146912,97.00863432884216,32.4453125
24,92.67,0.8427415361072152,109.96254014968872,99.11559438705444,29.0390625
25,92.66,0.840091578587936,110.29749894142151,99.21990847587585,34.20703125
26,92.66,0.8347084900976571,111.00881457328796,99.59102272987366,46.14453125
27,92.66,0.8352614469505214,110.93532490730286,98.48446607589722,41.27734375
28,92.66,0.8488916874907243,109.1540904045105,97.16159892082214,42.18359375
29,92.66,0.8404412522237505,110.2516086101532,98.08346438407898,42.796875
30,92.66,0.8432108872933279,109.88947296142578,97.43597292900085,41.88671875
